"","interval","data","forecast"
"242",2018-01-03 12:15:00,816.48,NA
"243",2018-01-03 12:30:00,815.04,NA
"244",2018-01-03 12:45:00,807.84,NA
"245",2018-01-03 13:00:00,802.08,NA
"246",2018-01-03 13:15:00,804.96,NA
"247",2018-01-03 13:30:00,806.4,NA
"248",2018-01-03 13:45:00,807.84,NA
"249",2018-01-03 14:00:00,806.4,NA
"250",2018-01-03 14:15:00,806.4,NA
"251",2018-01-03 14:30:00,804.96,NA
"252",2018-01-03 14:45:00,807.84,NA
"253",2018-01-03 15:00:00,796.32,NA
"254",2018-01-03 15:15:00,802.08,NA
"255",2018-01-03 15:30:00,803.52,NA
"256",2018-01-03 15:45:00,796.32,NA
"257",2018-01-03 16:00:00,792,NA
"258",2018-01-03 16:15:00,796.32,NA
"259",2018-01-03 16:30:00,797.76,NA
"260",2018-01-03 16:45:00,793.44,NA
"261",2018-01-03 17:00:00,796.32,NA
"262",2018-01-03 17:15:00,792,NA
"263",2018-01-03 17:30:00,797.76,NA
"264",2018-01-03 17:45:00,787.68,NA
"265",2018-01-03 18:00:00,781.92,NA
"266",2018-01-03 18:15:00,777.6,NA
"267",2018-01-03 18:30:00,786.24,NA
"268",2018-01-03 18:45:00,774.72,NA
"269",2018-01-03 19:00:00,751.68,NA
"270",2018-01-03 19:15:00,741.6,NA
"271",2018-01-03 19:30:00,743.04,NA
"272",2018-01-03 19:45:00,740.16,NA
"273",2018-01-03 20:00:00,738.72,NA
"274",2018-01-03 20:15:00,730.08,NA
"275",2018-01-03 20:30:00,728.64,NA
"276",2018-01-03 20:45:00,732.96,NA
"277",2018-01-03 21:00:00,728.64,NA
"278",2018-01-03 21:15:00,724.32,NA
"279",2018-01-03 21:30:00,734.4,NA
"280",2018-01-03 21:45:00,732.96,NA
"281",2018-01-03 22:00:00,721.44,NA
"282",2018-01-03 22:15:00,714.24,NA
"283",2018-01-03 22:30:00,721.44,NA
"284",2018-01-03 22:45:00,725.76,NA
"285",2018-01-03 23:00:00,727.2,NA
"286",2018-01-03 23:15:00,724.32,NA
"287",2018-01-03 23:30:00,731.52,NA
"288",2018-01-03 23:45:00,722.88,NA
"289",2018-01-04 00:00:00,718.56,NA
"290",2018-01-04 00:15:00,718.56,NA
"291",2018-01-04 00:30:00,724.32,NA
"292",2018-01-04 00:45:00,727.2,NA
"293",2018-01-04 01:00:00,720,NA
"294",2018-01-04 01:15:00,724.32,NA
"295",2018-01-04 01:30:00,725.76,NA
"296",2018-01-04 01:45:00,720,NA
"297",2018-01-04 02:00:00,715.68,NA
"298",2018-01-04 02:15:00,712.8,NA
"299",2018-01-04 02:30:00,714.24,NA
"300",2018-01-04 02:45:00,712.8,NA
"301",2018-01-04 03:00:00,714.24,NA
"302",2018-01-04 03:15:00,718.56,NA
"303",2018-01-04 03:30:00,721.44,NA
"304",2018-01-04 03:45:00,709.92,NA
"305",2018-01-04 04:00:00,708.48,NA
"306",2018-01-04 04:15:00,704.16,NA
"307",2018-01-04 04:30:00,709.92,NA
"308",2018-01-04 04:45:00,717.12,NA
"309",2018-01-04 05:00:00,720,NA
"310",2018-01-04 05:15:00,720,NA
"311",2018-01-04 05:30:00,721.44,NA
"312",2018-01-04 05:45:00,721.44,NA
"313",2018-01-04 06:00:00,730.08,NA
"314",2018-01-04 06:15:00,731.52,NA
"315",2018-01-04 06:30:00,738.72,NA
"316",2018-01-04 06:45:00,743.04,NA
"317",2018-01-04 07:00:00,758.88,NA
"318",2018-01-04 07:15:00,774.72,NA
"319",2018-01-04 07:30:00,780.48,NA
"320",2018-01-04 07:45:00,787.68,NA
"321",2018-01-04 08:00:00,799.2,NA
"322",2018-01-04 08:15:00,802.08,NA
"323",2018-01-04 08:30:00,793.44,NA
"324",2018-01-04 08:45:00,800.64,NA
"325",2018-01-04 09:00:00,809.28,NA
"326",2018-01-04 09:15:00,815.04,NA
"327",2018-01-04 09:30:00,820.8,NA
"328",2018-01-04 09:45:00,822.24,NA
"329",2018-01-04 10:00:00,817.92,NA
"330",2018-01-04 10:15:00,816.48,NA
"331",2018-01-04 10:30:00,820.8,NA
"332",2018-01-04 10:45:00,819.36,NA
"333",2018-01-04 11:00:00,816.48,NA
"334",2018-01-04 11:15:00,822.24,NA
"335",2018-01-04 11:30:00,822.24,NA
"336",2018-01-04 11:45:00,830.88,NA
"337",2018-01-04 12:00:00,828,NA
"338",2018-01-04 12:15:00,823.68,NA
"339",2018-01-04 12:30:00,817.92,NA
"340",2018-01-04 12:45:00,815.04,NA
"341",2018-01-04 13:00:00,816.48,NA
"342",2018-01-04 13:15:00,817.92,NA
"343",2018-01-04 13:30:00,816.48,NA
"344",2018-01-04 13:45:00,813.6,NA
"345",2018-01-04 14:00:00,816.48,NA
"346",2018-01-04 14:15:00,817.92,NA
"347",2018-01-04 14:30:00,820.8,NA
"348",2018-01-04 14:45:00,813.6,NA
"349",2018-01-04 15:00:00,810.72,NA
"350",2018-01-04 15:15:00,815.04,NA
"351",2018-01-04 15:30:00,807.84,NA
"352",2018-01-04 15:45:00,806.4,NA
"353",2018-01-04 16:00:00,804.96,NA
"354",2018-01-04 16:15:00,803.52,NA
"355",2018-01-04 16:30:00,803.52,NA
"356",2018-01-04 16:45:00,809.28,NA
"357",2018-01-04 17:00:00,809.28,NA
"358",2018-01-04 17:15:00,812.16,NA
"359",2018-01-04 17:30:00,804.96,NA
"360",2018-01-04 17:45:00,804.96,NA
"361",2018-01-04 18:00:00,803.52,NA
"362",2018-01-04 18:15:00,803.52,NA
"363",2018-01-04 18:30:00,804.96,NA
"364",2018-01-04 18:45:00,794.88,NA
"365",2018-01-04 19:00:00,766.08,NA
"366",2018-01-04 19:15:00,764.64,NA
"367",2018-01-04 19:30:00,763.2,NA
"368",2018-01-04 19:45:00,756,NA
"369",2018-01-04 20:00:00,754.56,NA
"370",2018-01-04 20:15:00,751.68,NA
"371",2018-01-04 20:30:00,753.12,NA
"372",2018-01-04 20:45:00,747.36,NA
"373",2018-01-04 21:00:00,743.04,NA
"374",2018-01-04 21:15:00,751.68,NA
"375",2018-01-04 21:30:00,747.36,NA
"376",2018-01-04 21:45:00,744.48,NA
"377",2018-01-04 22:00:00,735.84,NA
"378",2018-01-04 22:15:00,734.4,NA
"379",2018-01-04 22:30:00,741.6,NA
"380",2018-01-04 22:45:00,743.04,NA
"381",2018-01-04 23:00:00,738.72,NA
"382",2018-01-04 23:15:00,741.6,NA
"383",2018-01-04 23:30:00,740.16,NA
"384",2018-01-04 23:45:00,735.84,NA
"385",2018-01-05 00:00:00,745.92,NA
"386",2018-01-05 00:15:00,743.04,NA
"387",2018-01-05 00:30:00,744.48,NA
"388",2018-01-05 00:45:00,741.6,NA
"389",2018-01-05 01:00:00,737.28,NA
"390",2018-01-05 01:15:00,743.04,NA
"391",2018-01-05 01:30:00,747.36,NA
"392",2018-01-05 01:45:00,748.8,NA
"393",2018-01-05 02:00:00,740.16,NA
"394",2018-01-05 02:15:00,737.28,NA
"395",2018-01-05 02:30:00,735.84,NA
"396",2018-01-05 02:45:00,735.84,NA
"397",2018-01-05 03:00:00,728.64,NA
"398",2018-01-05 03:15:00,730.08,NA
"399",2018-01-05 03:30:00,731.52,NA
"400",2018-01-05 03:45:00,731.52,NA
"401",2018-01-05 04:00:00,722.88,NA
"402",2018-01-05 04:15:00,732.96,NA
