"","x"
"605",783.038299855187
"606",791.241120729269
"607",799.829086689729
"608",796.417115542154
"609",803.85485682534
"610",798.863197212289
"611",790.221895508552
"612",792.211233288761
"613",794.534819120787
"614",791.285854299831
"615",789.460986924494
"616",790.739720485786
"617",791.436458391575
"618",791.866475815189
"619",792.92971313896
"620",788.855929293346
"621",792.321385652137
"622",792.692085644799
"623",774.736823484798
"624",779.79125236696
"625",785.402629892453
"626",789.212352768809
"627",793.438970847683
"628",788.886247253897
"629",788.71121710777
"630",790.378502366515
"631",794.654433054813
"632",790.866486588738
"633",795.40091345395
"634",797.748832311051
"635",802.667446750493
"636",802.74286678461
"637",802.473318279109
"638",806.813168494541
"639",815.080511968949
"640",810.638852473164
"641",813.765036351861
"642",817.480866560428
"643",803.359676664236
"644",799.515466565173
"645",807.464019632648
"646",804.448990418276
"647",803.064443488064
"648",792.431055538778
"649",787.215173438758
"650",798.181762764245
"651",799.843517568799
"652",788.843476549639
"653",782.092939967037
"654",772.594768452138
"655",766.181848854039
"656",761.077904464472
"657",765.740131460605
"658",768.740244327819
"659",762.276851372787
"660",767.162630600283
"661",761.016712368772
"662",750.819033196618
"663",754.912693023668
"664",751.459092715629
"665",755.775605818289
"666",751.907767929624
"667",749.217090952866
"668",753.27582205674
"669",765.138504354908
"670",763.317369903051
"671",758.342019461052
"672",754.415219141438
"673",758.003397340799
"674",757.004528233816
"675",759.707508279099
"676",759.3134732633
"677",761.316780403544
"678",756.147930937266
"679",752.223166489809
"680",749.665560521033
"681",758.309407196108
"682",754.995862118055
"683",750.537876773706
"684",747.412563030076
"685",751.733380562819
"686",743.648301335085
"687",745.694482867355
"688",736.510344739529
"689",742.344111023987
"690",743.67239203167
"691",741.887035535712
"692",738.343409222217
"693",751.894757063318
"694",757.670505533853
"695",753.34319076412
"696",752.816849171145
"697",754.45093887122
"698",757.59393619852
"699",764.062667392368
"700",759.893718012201
"701",764.464750326343
"702",783.063558485325
"703",796.895695785281
"704",778.809123587347
"705",842.244888100147
"706",853.570020671315
"707",836.773425430591
"708",851.907177566747
"709",861.317735859042
"710",928.034203523712
"711",910.634313535535
"712",913.315523707679
"713",899.523807999654
"714",892.982548912097
"715",910.92625842044
"716",912.645027019248
"717",927.585578090196
"718",932.739619259861
"719",946.729747267052
"720",946.987853828963
"721",950.299446629846
"722",952.0050512717
"723",954.102846952894
"724",939.129765046274
"725",892.177472019038
"726",837.479261923632
"727",856.012184743195
"728",821.624774442143
"729",850.792796137422
"730",844.631348383514
"731",840.403832722998
"732",843.53823721968
"733",842.012244651086
"734",838.622570109113
"735",839.821518880511
"736",835.949769834172
"737",844.665558014876
"738",838.883052464815
"739",835.748207815809
"740",842.862975790128
"741",839.085324889124
"742",837.493005857078
"743",832.564120895294
"744",824.225801335184
"745",813.303553751512
"746",787.31010869751
"747",784.79292016097
"748",776.503425678162
"749",777.029578537338
"750",770.783800064758
"751",756.904858057138
"752",755.512803637632
"753",756.722620802487
"754",747.58028258454
"755",735.280621068286
"756",740.507713188046
"757",747.555914492533
"758",747.998743714619
"759",742.763156641193
"760",741.92289798046
"761",732.085142844499
"762",748.972556721493
"763",742.42595843515
"764",749.417951782712
"765",754.009603300333
"766",743.184104276925
"767",740.997957657984
"768",738.086035993554
"769",731.404917242043
"770",732.0967192719
"771",731.955177760095
"772",733.534308770313
"773",730.174132347361
"774",727.256034679151
"775",728.373296769847
"776",725.405125531272
"777",734.129105951876
"778",728.83767689989
"779",729.127613227925
"780",721.046761836958
"781",719.534798774371
"782",721.833478589351
